News Article Title,News Article Publish Date,Source URL of News Article,Description of News Article,Primary Event Described in News Article,Estimated Location of Primary Event Described in News Article,Estimated Date,Secondary Events Described in News Article,Estimated Location of Secondary Events Described in News Article,Estimated Date of Secondary Events,,,
"Small-scale fishermen in WC, NC to receive fishing rights",06/06/2016,http://ewn.co.za/2016/06/06/Small-scale-fishermen-in-WC-NC-could-soon-get-fishing-rights,DAFF is registering applicants in coastal provinces who would like to obtain fishing rights.,Fishing rights will be allocated for the Northern Cape and the Western Cape,Cape Town,10/2016-11/2016,,,,,,
600 tons of squid found on 3 Chinese trawlers in SA waters,24/05/2016,http://ewn.co.za/2016/05/24/600-tons-of-squid-found-on-3-Chinese-trawlers-in-SA-waters,Chinese trawlers carrying 600 tons of squid were caught in the South African EEZ.,Chinese trawlers carrying squid were caught in the South African EEZ.,East London,21/05/2016-22/05/2016,One of nine illegal fishing vessels caught in South African waters .,Saldanah Bay,,,,
Rising seawater leads to CT evacuations,26/12/2014,http://ewn.co.za/2014/12/26/New-moon-gives-rise-to-rough--CT-seas,Rough sea conditions (high tide) because of the new moon,Rough sea conditions resulted in flash floods and debris washing over roads along the West Coast and parts of False Bay,Cape Town,26/12/2014,,,,,,
Southern right whales visit sea point,27/02/2015,http://ewn.co.za/2015/02/27/Southern-Right-whales-visit-Sea-Point,Southern Right Whales sighting,Southern Right Whales sighting,Sea Point,26/02/2015,,,,,,
Largest ever' pod of orcas visit Cape Coast,14/01/2015,http://ewn.co.za/2015/01/14/largest-pod-of-orcas-spotted-off-cape-coast,Large pod of killer whales sighting,Large pod of killer whales sighting,Simon's Town coast,12/01/2015,,,,,,
NSRI warns of strong currents,02/01/2015,http://ewn.co.za/2015/01/02/NSRI-warns-of-strong-currents,Strong currents because of the full moon spring tide,Strong currents because of the full moon spring tide,South African coastline,02/01/2015,,,,,,
Continued opposition to sewage dumping in CT ocean,29/06/2015,http://ewn.co.za/2015/06/29/Continued-opposition-to-sewage-dump-in-CT-sea,City Of Cape Town pumps millions of litres raw sewage into ocean,City Of Cape Town pumps raw sewage into ocean,Cape Town coast,since 1901,,,,,,
City of CT urged to revisit sewage outfall decision,22/06/2015,http://ewn.co.za/2015/06/22/City-urged-to-revisit-sewage-outfall-decision,City of Cape Town asked to reconsider human waste disposal methods,City of Cape Town asked to reconsider human waste disposal methods as it is pumped into ocean,Cape Town coast,since 1901,,,,,,
First on EWN:  Cape Town's sewage debacle not flushing away,22/06/2015,http://ewn.co.za/2015/06/22/First-on-EWN-CTs-sewage-debacle-not-flushing-away,DEA doesn't know how much wate is being pumped into South Africa's oceans,"City Of Cape Town pumps raw sewage into ocean, but DEA doesn't know how much",Cape Town coast,since 1901,,,,,,
Full moon sets off rough seas,04/04/2015,http://ewn.co.za/2015/04/04/Full-moon-sets-off-rough-seas,Strong spring tides and rip currents due to the full moon,Strong spring tides and rip currents due to the full moon,South African coastline,04/04/2015,,,,,,
Sea robots combat climate change,01/12/2014,https://www.enca.com/technology/sa-sea-robots-combat-climate-change,Unmaned sea robots will be sent to the Southern Ocean in Antarctica for climate change research.  For now they are being tested off Cape Town's coast,Unmaned sea robots are being tested off Cape Town's coast,Cape Town's coast,01/12/2014,,,,,,
Selso the seal visits SA again,24/11/2014,https://www.enca.com/life/selso-seal-visits-sa-again,Marine biologist spotted familiar seal,Marine biologist spotted familiar seal,Cape Recife nature reserve,22/11/2014,,,,,,
Worries fish farm could make triathletes a shark target,04/11/2014,https://www.enca.com/south-africa/worries-fish-farm-could-make-triathletes-shark-target,It is envisaged to build a fish farm along a section of the South African coastline.  This will lure sharks and individuals might get attacked by sharks,It is envisaged to build a fish farm along a section of the South African coastline,2.5 kilometres off Hobie Beach,04/11/2014,,,,,,
Humpback whale freed in St Francis Bay,16/09/2014,https://www.enca.com/humpcak-whale-freed-st-francis-bay,A 10m juvenile humpack whale was freed after getting entangled in rope and buoys,A humpack whale was freed after getting entangled,St Francis Bay,15/09/2014,,,,,,
Beached whale rescued of Plettenberg Bay,12/12/2015,https://www.enca.com/south-africa/beached-whale-plettenberg-bay-rescued,A beached orca whale has been rescued,A beached orca whale has been rescued,Plettenberg Bay,11/12/2015,,,,,,
NSRI warns of rip currents and spring tides,07/12/2015,https://www.enca.com/south-africa/nsri-warns-rip-currents-and-spring-tides,Rip currents due to the full moon and new moon spring tides,Rip currents,South African coastline,07/12/2015,,,,,,
Operation Phakisa to transform Durban docks,02/05/2016,https://www.enca.com/south-africa/operation-phakisa-to-transform-durban-docks,R7bil has been allocated to the Transnet National Ports Authority to improve ports and build a new facility in Hibberdene on the KwaZulu-Natal coast,R7bil has been allocated to the TNPA to improve ports and build a new facility.,Hibberdene. KwaZulu-Natal coast,02/05/2016,,,,,,
Red tide confirmed on West Coast,04/02/2015,http://www.sabc.co.za/news/a/8c5cdb00472f272daea7ae686e648436/Red-tide-confirmed-on-West-Coast,Red tide on West Coast,Red tide on West Coast,"West Coast, St. Helena Bay to Doringbaai, Elands Bay",04/02/2015,,,,,,
West Coast lobster numbers decrease alarmingly,08/06/2015,http://www.sabc.co.za/news/a/30c20a8048ac5eb48deeef6504049662/West-Coast-lobster-numbers-decrease-alarmingly-20150608,The amount of West Coast lobster and abalone are decreasing at an alarming rate mainly due to poaching,The amount of West Coast lobster and abalone are decreasing at an alarming rate mainly due to poaching,South Africa,08/06/2015,,,,,,
Sardines make surprise appearance at Margate,05/06/2015,http://www.sabc.co.za/news/a/446df60048a21d5c934f9ba96652ae2c/Sardines-make-surprise-appearance-at-Margate-20150605,Pockets of sardines appears that lured 14 sharks in nets,Pockets of sardines appears that lured 14 sharks in nets,Margate,,,,,,,
Sea level rise poses risk to KZN property,31/10/2015,http://www.sabc.co.za/news/a/fc2f8c804a689db58bc7db6d39fe9e0c/Sea-level-rise-poses-risk-to-KZN-property,Sea level rise due to climate change might damage public property and infrastructure in future,Sea level rise due to climate change might damage public property and infrastructure in future,Durban,31/10/2015,,,,,,
SA Weather warns of huge waves in E Cape,04/06/2015,http://www.sabc.co.za/news/a/fb03b180489f9b26b2b2baa96652ae2c/SA-Weather-warns-of-huge-waves-in-E-Cape,The South African weather service issued a warning that huge waves will surge onto the beach and flood coastal areas,SAWS issued a warning that huge waves will surge onto the beach and flood coastal areas,"Eastern Cape (Port Elizabeth, Plettenberg Bay)",04/06/2015,,,,,,
Robot to test health of ocean 'lungs',13/06/2014,http://mg.co.za/article/2014-06-12-robot-to-test-health-of-ocean-lungs,Wave glider sent out to measure pollution around Antarctica,Wave glider sent out to measure pollution around Antarctica,Cape Town,13/06/2014,,,,,,
Buoy genius clears the coast,20/11/2015,http://mg.co.za/article/2015-11-19-buoy-genius-clears-the-coast,A high-tech buoy developed at the Cape Peninsular University of Technology that provides real-time data can help South Africa as well as other countries manage their coastal waters,A high-tech buoy developed at the CPUT that provides real-time data can help South Africa as well as other countries manage their coastal waters.  A prototype buoy was tested and it is planned to produce the buoy in South Africa,False Bay,2015,,,,,,
SA gung ho about mining oceans,03/07/2015,http://mg.co.za/article/2015-07-02-sa-gung-ho-about-mining-oceans,"Operation Phakisa aims to speed up the exploration and exploitation of oil, gas and phosphate off South Africa's coastline, but this may jeopardize local fisherman's livelihood","Operation Phakisa aims to speed up the exploration and exploitation of oil, gas and phosphate off South Africa's coastline, but this may jeopardize local fisherman's livelihood",South Africa,03/07/2015,,,,,,
Ocean View fishers drowned out by policy,10/02/2015,http://mg.co.za/article/2015-02-10-the-ocean-view-fisher-blues-i,Ocean View fishers claims that the government's flawed fishing permit process are forcing them into poverty,Ocean View fishers claims that the government's flawed fishing permit process are forcing them into poverty,Ocean View,10/02/2015,,,,,,
